# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004560-1
# text = ēkal Aššur-naṣir-apli šarru rabê šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	MAN
4	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	3	amod	_	GAL-e
5	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	MAN
6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	5	amod	_	dan-nu
7	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	7	nmod:poss	_	ŠU₂
9	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
10	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	_	KUR
11	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	10	nmod:poss	_	aš-šur
12	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	DUMU
13	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	12	nmod:poss	_	GISKIM-{d}nin-urta
14	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	_	MAN
15	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	14	amod	_	GAL-e
16	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	_	MAN
17	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	16	amod	_	dan-nu
18	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	MAN
19	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	18	nmod:poss	_	ŠU₂
20	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	MAN
21	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	20	nmod:poss	_	KUR
22	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	21	nmod:poss	_	aš-šur
23	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	DUMU
24	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	23	nmod:poss	_	10-ERIM.TAH₂
25	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	MAN
26	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	25	nmod:poss	_	ŠU₂
27	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	MAN
28	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	27	nmod:poss	_	KUR
29-30	Aššurma	_	_	_	_	_	_	_	_
29	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	28	nmod:poss	_	aš-šur-ma
30	ma	_	PART	_	_	29	det	_	_

